DOI	Sample_name	Noble_or_not	Multi_or_not	Co_or_not	Fe_or_not	Ni_or_not	SSA (m2/g)	Electrolyte	pH	Tafel slope (mV/dec)	Current_density (mA/cm2)	Overpotential (mV)
10.1021/acscatal.2c01825	NiCoAlO-P	0	1	1	0	1	119.76	0.1M KOH	13	86	20	348 
10.1021/acscatal.2c01825	NiCoAlO-P	0	1	1	0	1	119.76	0.1M KOH	13	86	10	300 
10.1021/acsanm.2c00222	Ni/NiO-NC-1	0	0	0	0	1	36.4	1.0 M KOH	14	141	100	560 
10.1021/acsanm.2c00222	Ni/NiO-NC-1	0	0	0	0	1	36.4	1.0 M KOH	14	141	50	438 
10.1021/acsanm.2c00222	Ni/NiO-NC-1	0	0	0	0	1	36.4	1.0 M KOH	14	141	20	345 
10.1021/acsanm.2c00222	Ni/NiO-NC-1	0	0	0	0	1	36.4	1.0 M KOH	14	141	10	293 
10.1021/acsanm.1c00941	CuO MCS	0	0	0	0	0	42.8	1.0 M KOH	14	73.6	100	404 
10.1021/acsanm.1c00941	CuO MCS	0	0	0	0	0	42.8	1.0 M KOH	14	73.6	50	365 
10.1021/acsanm.1c00941	CuO MCS	0	0	0	0	0	42.8	1.0 M KOH	14	73.6	20	326 
10.1021/acsanm.1c00941	CuO MCS	0	0	0	0	0	42.8	1.0 M KOH	14	73.6	10	304 
10.1021/acsami.8b00682	LSF-0.8 	0	1	0	0	1	11.5	0.1M KOH	13	60.1	20	392 
10.1021/acsami.8b00682	LSF-0.8 	0	1	0	0	1	11.5	0.1M KOH	13	60.1	10	370 
10.1021/acsami.6b06103	5%Ni-Co	0	1	1	0	1	160	0.1M KOH	13	72.5	10	381 
10.1021/acsaem.1c01348	LPC-50	0	1	1	0	0	8.89	1.0 M KOH	14	80.6	100	443 
10.1021/acsaem.1c01348	LPC-50	0	1	1	0	0	8.89	1.0 M KOH	14	80.6	50	389 
10.1021/acsaem.1c01348	LPC-50	0	1	1	0	0	8.89	1.0 M KOH	14	80.6	20	343 
10.1021/acsaem.1c01348	LPC-50	0	1	1	0	0	8.89	1.0 M KOH	14	80.6	10	312 
10.1021/acs.inorgchem.5b00518	CoMn2O4/rGO	0	1	1	0	0	412	0.1M KOH	13	56	10	312 
10.1021/acs.inorgchem.3c00987	L1.8CMO	0	1	1	0	0	48.1	1.0 M KOH	14	57.03	100	466 
10.1021/acs.inorgchem.3c00987	L1.8CMO	0	1	1	0	0	48.1	1.0 M KOH	14	57.03	50	420 
10.1021/acs.inorgchem.3c00987	L1.8CMO	0	1	1	0	0	48.1	1.0 M KOH	14	57.03	20	379 
10.1021/acs.inorgchem.3c00987	L1.8CMO	0	1	1	0	0	48.1	1.0 M KOH	14	57.03	10	350 
10.1021/acs.inorgchem.1c02931	CuCe0.5Co1.5Ox	0	1	1	0	0	9.5	1.0 M KOH	14	57.5	50	334 
10.1021/acs.inorgchem.1c02931	CuCe0.5Co1.5Ox	0	1	1	0	0	9.5	1.0 M KOH	14	57.5	20	319 
10.1021/acs.inorgchem.1c02931	CuCe0.5Co1.5Ox	0	1	1	0	0	9.5	1.0 M KOH	14	57.5	10	294 
10.1021/acs.energyfuels.1c01388	Co3O4–CeO2/C	0	1	1	0	0	165.5	0.1M KOH	13	176	10	520 
10.1021/acs.energyfuels.0c04224	C-Ni/Co-HS	0	1	1	0	1	123	1.0 M KOH	14	42	100	331 
10.1021/acs.energyfuels.0c04224	C-Ni/Co-HS	0	1	1	0	1	123	1.0 M KOH	14	42	50	293 
10.1021/acs.energyfuels.0c04224	C-Ni/Co-HS	0	1	1	0	1	123	1.0 M KOH	14	42	20	268 
10.1021/acs.energyfuels.0c04224	C-Ni/Co-HS	0	1	1	0	1	123	1.0 M KOH	14	42	10	240 
10.1021/acs.chemmater.0c04695	HEO/Pt	1	1	1	1	0	243	1.0 M KOH	14	49.8	100	386 
10.1021/acs.chemmater.0c04695	HEO/Pt	1	1	1	1	0	243	1.0 M KOH	14	49.8	50	316 
10.1021/acs.chemmater.0c04695	HEO/Pt	1	1	1	1	0	243	1.0 M KOH	14	49.8	20	277 
10.1021/acs.chemmater.0c04695	HEO/Pt	1	1	1	1	0	243	1.0 M KOH	14	49.8	10	260 
10.1016/j.surfin.2022.102467	SnO2/MnO2	0	1	0	0	0	126	1.0 M KOH	14	38.9	10	360 
10.1016/j.mtchem.2022.101063	MnO2/Co3O4 	0	1	1	0	0	254.417	0.1 M KOH	13	69	50	498 
10.1016/j.mtchem.2022.101063	MnO2/Co3O4 	0	1	1	0	0	254.417	0.1 M KOH	13	69	20	430 
10.1016/j.mtchem.2022.101063	MnO2/Co3O4 	0	1	1	0	0	254.417	0.1 M KOH	13	69	10	390 
10.1016/j.micromeso.2022.111844	Co3O4@TiO2-10 NF 	0	1	1	0	1	76.1	1.0 M KOH	14	58	50	516 
10.1016/j.micromeso.2022.111844	Co3O4@TiO2-10 NF 	0	1	1	0	1	76.1	1.0 M KOH	14	58	20	421 
10.1016/j.micromeso.2022.111844	Co3O4@TiO2-10 NF 	0	1	1	0	1	76.1	1.0 M KOH	14	58	10	382 
10.1016/j.jtice.2022.104559	Ni(OH)2-CNT-Co3O4/NC	0	1	1	0	1	312.32	0.1 M KOH	13	191.5	50	681 
10.1016/j.jtice.2022.104559	Ni(OH)2-CNT-Co3O4/NC	0	1	1	0	1	312.32	0.1 M KOH	13	191.5	20	495 
10.1016/j.jtice.2022.104559	Ni(OH)2-CNT-Co3O4/NC	0	1	1	0	1	312.32	0.1 M KOH	13	191.5	10	423 
10.1016/j.jssc.2023.124213	CoNiO@NCNT	0	1	1	0	1	284.86	1.0 M KOH	14	63.6	50	378 
10.1016/j.jssc.2023.124213	CoNiO@NCNT	0	1	1	0	1	284.86	1.0 M KOH	14	63.6	20	336 
